threshold,fpr,tpr
5.914786967418546038e-01,9.679999999999999716e-01,9.966666666666667007e-01
5.939849624060149491e-01,9.689999999999999725e-01,9.966666666666667007e-01
5.964912280701754055e-01,9.699999999999999734e-01,9.966666666666667007e-01
5.989974937343358619e-01,9.724000000000000421e-01,9.966666666666667007e-01
6.015037593984962072e-01,9.737999999999999989e-01,9.966666666666667007e-01
6.040100250626565526e-01,9.749999999999999778e-01,1.000000000000000000e+00
6.065162907268170089e-01,9.758000000000000007e-01,1.000000000000000000e+00
6.090225563909774653e-01,9.774000000000000465e-01,1.000000000000000000e+00
6.115288220551378107e-01,9.784000000000000474e-01,1.000000000000000000e+00
6.140350877192981560e-01,9.791999999999999593e-01,1.000000000000000000e+00
6.165413533834586124e-01,9.798000000000000043e-01,1.000000000000000000e+00
6.190476190476190688e-01,9.806000000000000272e-01,1.000000000000000000e+00
6.215538847117794141e-01,9.814000000000000501e-01,1.000000000000000000e+00
6.240601503759397595e-01,9.819999999999999840e-01,1.000000000000000000e+00
6.265664160401002158e-01,9.829999999999999849e-01,1.000000000000000000e+00
6.290726817042606722e-01,9.836000000000000298e-01,1.000000000000000000e+00
6.315789473684210176e-01,9.839999999999999858e-01,1.000000000000000000e+00
6.340852130325813629e-01,9.844000000000000528e-01,1.000000000000000000e+00
6.365914786967418193e-01,9.851999999999999647e-01,1.000000000000000000e+00
6.390977443609022757e-01,9.858000000000000096e-01,1.000000000000000000e+00
6.416040100250626210e-01,9.864000000000000545e-01,1.000000000000000000e+00
6.441102756892229664e-01,9.876000000000000334e-01,1.000000000000000000e+00
6.466165413533834228e-01,9.879999999999999893e-01,1.000000000000000000e+00
6.491228070175438791e-01,9.888000000000000123e-01,1.000000000000000000e+00
6.516290726817042245e-01,9.888000000000000123e-01,1.000000000000000000e+00
6.541353383458645698e-01,9.896000000000000352e-01,1.000000000000000000e+00
6.566416040100250262e-01,9.901999999999999691e-01,1.000000000000000000e+00
6.591478696741854826e-01,9.908000000000000140e-01,1.000000000000000000e+00
6.616541353383458279e-01,9.911999999999999700e-01,1.000000000000000000e+00
6.641604010025061733e-01,9.916000000000000369e-01,1.000000000000000000e+00
6.666666666666666297e-01,9.919999999999999929e-01,1.000000000000000000e+00
6.691729323308270860e-01,9.923999999999999488e-01,1.000000000000000000e+00
6.716791979949874314e-01,9.923999999999999488e-01,1.000000000000000000e+00
6.741854636591477767e-01,9.929999999999999938e-01,1.000000000000000000e+00
6.766917293233082331e-01,9.941999999999999726e-01,1.000000000000000000e+00
6.791979949874686895e-01,9.943999999999999506e-01,1.000000000000000000e+00
6.817042606516290348e-01,9.948000000000000176e-01,1.000000000000000000e+00
6.842105263157893802e-01,9.949999999999999956e-01,1.000000000000000000e+00
6.867167919799498366e-01,9.953999999999999515e-01,1.000000000000000000e+00
6.892230576441102929e-01,9.956000000000000405e-01,1.000000000000000000e+00
6.917293233082706383e-01,9.958000000000000185e-01,1.000000000000000000e+00
6.942355889724309836e-01,9.959999999999999964e-01,1.000000000000000000e+00
6.967418546365914400e-01,9.963999999999999524e-01,1.000000000000000000e+00
6.992481203007518964e-01,9.966000000000000414e-01,1.000000000000000000e+00
7.017543859649122417e-01,9.966000000000000414e-01,1.000000000000000000e+00
7.042606516290725871e-01,9.966000000000000414e-01,1.000000000000000000e+00
